Locus20203Transcript	1.31385
Locus20518Transcript	0.348449
Locus21318Transcript	1.02695
Locus25628Transcript	0.877763
Locus26352Transcript	0
Locus27044Transcript	0.761396
Locus29110Transcript	0.193522
Locus38592Transcript	0.418137
Locus3922Transcript	0.912661
Locus409Transcript	0.401986
Locus409Transcript	0.416472
Locus409Transcript	0.401661
Locus42936Transcript	1.07146
Locus46943Transcript	0.710164
Locus51519Transcript	0.80479
Locus55224Transcript	0.168184
Locus56575Transcript	0.570445
Locus57537Transcript	0.588893
Locus5898Transcript	0.39186
Locus62203Transcript	0.658346
Locus62347Transcript	0.946282
Locus62445Transcript	1.00538
Locus6324Transcript	0.26639
Locus64216Transcript	0.411466
Locus67964Transcript	0.207357
Locus68104Transcript	0.81282
Locus69171Transcript	0.632887
Locus6992Transcript	0.575866
Locus72394Transcript	0.41138
Locus72480Transcript	1.02828
Locus74019Transcript	1.21356
Locus74336Transcript	0.255528
Locus8844Transcript	0.413905
Locus8844Transcript	0.42796
Locus9609Transcript	0.344473
transcriptsv21213	0.219981
transcriptsv213354	0.376065
transcriptsv21920	0.573979
transcriptsv223540	0.187698
transcriptsv225678	0.434094
transcriptsv226768	0.0881416
transcriptsv234322	0.389857
transcriptsv234789	0.49179
transcriptsv2425	0.334775
transcriptsv244780	0.386629
transcriptsv246613	1.06783
transcriptsv2567	0.791717
transcriptsv26035	0.346857
transcriptsv265585	0.232417
transcriptsv270609	0.486225
