Locus10000Transcript,0.761861
Locus10002Transcript,0.695709
Locus10003Transcript,0.12449
Locus10005Transcript,0.530625
Locus10007Transcript,0.746746
Locus10007Transcript,0.758383
Locus1000Transcript,0.266367
Locus10010Transcript,0.158412
Locus10012Transcript,0.736118
Locus10013Transcript,0.978761
Locus10014Transcript,1.46668
Locus10015Transcript,0.364383
Locus10015Transcript,0.368691
Locus10016Transcript,0.779823
Locus10017Transcript,0.110361
Locus1001Transcript,0.28131
Locus10020Transcript,0.0821433
Locus10022Transcript,0.687209
Locus10024Transcript,1.4668
Locus10027Transcript,0.847464
Locus10028Transcript,0.676556
Locus10029Transcript,0.8233
Locus10030Transcript,0.853481
Locus10031Transcript,0.661166
Locus10033Transcript,0.162397
Locus10034Transcript,0.868757
Locus10037Transcript,0.578951
Locus10039Transcript,0.92711
Locus1003Transcript,0.914415
Locus10041Transcript,0.365392
Locus10042Transcript,0.65709
Locus10043Transcript,0.52846
Locus10044Transcript,0.533378
Locus10045Transcript,0.206723
Locus10047Transcript,0.710174
Locus10048Transcript,0.398867
Locus10049Transcript,1.03112
Locus1004Transcript,0.260612
Locus10050Transcript,0.833272
Locus10051Transcript,0
Locus10052Transcript,0
Locus10053Transcript,0
Locus10053Transcript,0
Locus10054Transcript,0.728926
Locus10056Transcript,0
Locus10058Transcript,1.01853
Locus10059Transcript,0.384943
Locus1005Transcript,0.723588
Locus10060Transcript,1.05571
Locus10062Transcript,0.386541
Locus10064Transcript,0.585331
Locus10065Transcript,1.15552
Locus10066Transcript,0.787704
Locus10067Transcript,0.0943399
Locus10068Transcript,0.689883
Locus10069Transcript,0.348955
Locus1006Transcript,0.674782
Locus1006Transcript,0.843315
Locus10073Transcript,0.640578
Locus10074Transcript,0.918823
Locus10075Transcript,1.06891
Locus10076Transcript,0.991455
Locus10077Transcript,1.01183
Locus10078Transcript,0.157409
Locus10080Transcript,1.33756
Locus10081Transcript,1.33993
Locus10082Transcript,0.678007
Locus10083Transcript,0.603462
Locus10084Transcript,0.501154
Locus10085Transcript,0.417774
Locus10085Transcript,0.454514
Locus10087Transcript,0.687916
Locus10088Transcript,0.708399
Locus10089Transcript,0.651282
Locus10094Transcript,0.990718
Locus10095Transcript,0.233965
Locus10096Transcript,0
Locus10097Transcript,0.531138
Locus10098Transcript,1.04055
Locus10099Transcript,0.890277
Locus100Transcript,0.952416
Locus10100Transcript,1.11228
Locus10103Transcript,0.674609
Locus10105Transcript,0.955798
Locus10106Transcript,0.43623
