379072745	Cluster034439
379072746	Cluster034438
379072747	Cluster007054
379072748	Cluster034431
379072749	Cluster034430
379072750	Cluster034433
379072751	Cluster034432
379072752	Cluster034435
379072753	Cluster034434
379072754	Cluster034437
379072755	Cluster034436
379072756	Cluster007056
379072757	Cluster005397
379072758	Cluster007232p
379072759	Cluster007053
379072760	Cluster050869
379072761	Cluster007052
379072762	Cluster008083
379072763	Cluster008082
379072764	Cluster007232m
379072765	Cluster008081
379072766	Cluster034386
379072767	Cluster034385
379072768	Cluster034384
379072769	Cluster025208
379072770	Cluster025209
379072771	Cluster034381
379072772	Cluster034380
379072773	Cluster025204
379072774	Cluster025205
379072775	Cluster025206
379072776	Cluster025207
379072777	Cluster025200
379072778	Cluster025201
379072779	Cluster025202
379072780	Cluster025203
379072781	Cluster039501
379072782	Cluster008085
379072783	Cluster008084
379072784	Cluster021969
379072785	Cluster021968
379072786	Cluster021961
379072787	Cluster021960
379072788	Cluster021963
379072789	Cluster021962
379072790	Cluster021965
379072791	Cluster021964
379072792	Cluster021967
379072793	Cluster021966
379072794	Cluster028283
379072795	Cluster028282
379072796	Cluster005392
379072797	Cluster003242
379072798	Cluster003243
379072799	Cluster028287
379072800	Cluster028286
379072801	Cluster002318m
379072802	Cluster028285
379072803	Cluster028284
379072804	Cluster031160
379072805	Cluster032120
379072806	Cluster004930
379072807	Cluster052591
379072808	Cluster014259
379072809	Cluster035929
379072810	Cluster001132m
379072811	Cluster001132p
379072812	Cluster006011
379072813	Cluster050265
379072814	Cluster004889
379072815	Cluster004888
379072816	Cluster004887
379072817	Cluster004885
379072818	Cluster004884
379072819	Cluster004883
379072820	Cluster004880
379072821	Cluster007156m
379072822	Cluster033833
379072823	Cluster028427
379072824	Cluster009905
379072825	Cluster009904
379072826	Cluster009907
379072827	Cluster009906
379072828	Cluster009901
379072829	Cluster009900
379072830	Cluster009903
379072831	Cluster009902
379072832	Cluster005282
379072833	Cluster005283
379072834	Cluster005280
379072835	Cluster005281
379072836	Cluster005286
379072837	Cluster009908
379072838	Cluster005284
379072839	Cluster005285
379072840	Cluster000437m
379072841	Cluster034383
379072842	Cluster039017
379072843	Cluster034382
379072844	Cluster028953
379072845	Cluster028951
379072846	Cluster028950
379072847	Cluster028957
379072848	Cluster028956
379072849	Cluster028955
379072850	Cluster028954
379072851	Cluster028959
379072852	Cluster028958
379072853	Cluster031269
379072854	Cluster031268
379072855	Cluster037140
379072856	Cluster037141
379072857	Cluster037142
379072858	Cluster037144
379072859	Cluster037145
379072860	Cluster037146
379072861	Cluster028750
379072862	Cluster037148
379072863	Cluster037149
379072864	Cluster031162
379072865	Cluster028753
379072866	Cluster040437
379072867	Cluster028752
379072868	Cluster034389
379072869	Cluster000043p
379072870	Cluster028755
379072871	Cluster034388
379072872	Cluster013051
379072873	Cluster028757
379072874	Cluster005428
379072875	Cluster005429
379072876	Cluster005426
379072877	Cluster005427
379072878	Cluster005424
379072879	Cluster005425
379072880	Cluster005422
379072881	Cluster005423
379072882	Cluster005420
379072883	Cluster005421
379072884	Cluster049479
379072885	Cluster049478
379072886	Cluster018228
379072887	Cluster018229
379072888	Cluster018222
379072889	Cluster018223
379072890	Cluster018220
379072891	Cluster018221
379072892	Cluster018226
379072893	Cluster049474
379072894	Cluster018224
379072895	Cluster018225
379072896	Cluster019174
379072897	Cluster019177
379072898	Cluster019171
379072899	Cluster019170
379072900	Cluster019173
379072901	Cluster019179
379072902	Cluster019178
379072903	Cluster002816
379072904	Cluster002817
379072905	Cluster002813
379072906	Cluster002818
379072907	Cluster002819
379072908	Cluster031849
379072909	Cluster031848
379072910	Cluster031843
379072911	Cluster031842
379072912	Cluster031841
379072913	Cluster031840
379072914	Cluster031847
379072915	Cluster031846
379072916	Cluster031845
379072917	Cluster031844
379072918	Cluster018590
379072919	Cluster018591
379072920	Cluster018592
379072921	Cluster018593
379072922	Cluster018594
379072923	Cluster018595
379072924	Cluster018596
379072925	Cluster018597
379072926	Cluster018598
379072927	Cluster018599
379072928	Cluster051929
379072929	Cluster000559
379072930	Cluster000558
379072931	Cluster000551
379072932	Cluster000555
379072933	Cluster000554
379072934	Cluster000557
379072935	Cluster024928
379072936	Cluster024929
379072937	Cluster024926
379072938	Cluster024927
379072939	Cluster024924
379072940	Cluster024925
379072941	Cluster024922
379072942	Cluster024923
379072943	Cluster024920
379072944	Cluster024921
379072945	Cluster012145
379072946	Cluster012144
379072947	Cluster012147
379072948	Cluster012146
379072949	Cluster012141
379072950	Cluster012140
379072951	Cluster012143
379072952	Cluster012142
